allergens,brands,countries,ingredients_text,product_name
,Danone,Maroc,Eau minérale naturelle,Ain Saïss
,Ain atlas,"Morocco, en:united-states",0800 94 Aïn Atlas EAU MINÉRALE NATURELLE 55 VOTRE CAFÉ POUR ACCOMPAGNER An Atlas ANNEMANG BLE,Eau minéral naturelle
,Eaux Minérales d'Oulmes,"Maroc,Espagne","Composition minérale en mg/
Résidu sec à 110°C: 186
12 t S Sodium 26 tCalciumMagnésium9 tiiSulfates 42 i3 t H Chiorures 14Potassium
Bicarbonates 104 i Nitrates",6111035&quot;000027
"en:celery,en:gluten","Marmite,Unilever","France,Germany,Ireland,Italy,Netherlands,Spain,United Kingdom,United States","Yeast extract (contains BARLEY, WHEAT, OATS, RYE), salt, vegetable juice concentrate, vitamins (thiamin, riboflavin, niacin, vitamin B12 and folic acid), natural flavouring (contains CELERY).",Marmite
en:milk,Jaouda,Maroc,"lait ecremé, créme, ferments lactiques. Matière grasse: 6% Poids net:90g",
,centrale danone,en:Morocco,lait partiellement écrémé,Lait Frais
,lilia,"Morocco, en:united-states","زيوت نباتية مصفاة غير مهدرجة مل طيب نشأ الفرد مستحبات (2471) و (478) تسكين الصوجا (1222) حمض السورية (200) السيتريك (2300) مضادات الأكسدة سوريات البوتاسيوم (1202) حم خليط الشوكوفيرولات)، منكم ملون (1600) وفينا , AU : يحفظ في مكان بارد درجة TERR All FRANS : Tents",Margarine de table
,Coca-Cola,"Austria, Belgium, Bulgaria, Cameroon, France, Italy, Kazakhstan, Morocco, Poland, Portugal, Spain, Tunisia, Ukraine, United States, en:azerbaijan","water, fructose - glucose syrup, carbon dioxide, colorant: e150d, acid: phosphoric acid, natural flavorings (including caffeine)",Coca-Cola
,pepsi,Maroc,Aqua,اكوافينا
,Lindt & sprüngli (nordic),"Algeria, Austria, Belgium, Czech Republic, Finland, France, French Polynesia, Germany, Ireland, Italy, Mauritius, Morocco, Netherlands, Réunion, Romania, Singapore, Spain, Sweden, Switzerland, Tunisia, United Kingdom, en:bulgaria","Kakaomasse, Kakaobutter, fettarmes Kakaopulver, Zucker, Vanille",
"en:eggs,en:gluten,en:milk,en:soybeans",LuMondelez,"Algeria,Belgium,France,French Polynesia,Germany,Guadeloupe,Hungary,Luxembourg,Martinique,Morocco,New Caledonia,Réunion,Spain,Switzerland,United States","Céréale 50,7 % (farine de BLÉ 35 %, farine de BLÉ complète 15,7 %), sucre, huiles végétales (palme, colza), cacao maigre en poudre 4,5 %, sirop de glucose, amidon de BLE, poudre à lever (carbonate acide d'ammonium, carbonate acide de sodium, diphosphate disodique), émulsifiants (lécithine de SOJA, lecithine de tournesol), sel, LAIT écrémé en poudre, lactose et protéines de LAIT, arômes. PEUT CONTENIR OEUF.",Prince Goût Chocolat
,Les eaux minérales d'Oulmès S.A.,Maroc,Natural carbonated water 100%,Oulmes natural carbonated water
"en:milk,en:nuts,en:soybeans",Ferrero,"Algeria, Belgium, Bulgaria, France, Germany, Guadeloupe, Italy, Luxembourg, Martinique, Morocco, Réunion, Spain, Switzerland, Tunisia, United Kingdom, United States, en:india","Sucre, huile de palme, NOISETTES 13%, LAIT écrémé en poudre 8,7%, cacao maigre 7,4%, émulsifiants: lécithines [SOJA]; vanilline. Sans gluten",Nutella
,Coca cola,"Bulgaria, Italy, Morocco, en:united-states","water, fructose-glucosic syrup, orange juice from concentrate (7%), orange pulp (4%) acid: citric acid, acidity regulator: sodium citrates, stabilisers: arabic gum and glycerolesters of wood resins, antioxidant aroma: ascorbic acid carotene dye",Orange juice
"en:gluten,en:milk","TONIK,Bimo",Maroc,"Farine de Blé, Sucre, Huile Végétale Non-Hydrogénée (Palme), Perméat de Lactosérum (De La كوفريت محشو بحشوة الكاكاو (٤١.٦٪) وحشوة بنكهة الفانيلين (۲۰۸) - المكونات دقيق القمح، سكر، زيت نباتي غير مهدرج زيت النخيل) راشح الحليب، مسحوق الكاكاو منخفض كوفرية مستحلب (322)-ليسيثين الصويا) مادة رافعة (5000) أكمة صناعية فانيلين) ملخ يحتوي على الحليب، القمح (غلوتين) الصويا. الوزن الصاف ا الصنع في المغرب من طرف مونديليز المغرب، شارع الشفشاوني، زنقة أي طريق .. الحي الصناعي، عين السبع ٢.٣٠٠ الدار البيضاء المغرب. رأيكم يهمنا اتصل بنا داخل المغرب: 0522346003 AR",
,,en:Morocco,,levure pâtisserie
,Danone,"Maroc,États-Unis","Calcium : 63,5
Magnésium : 35,5
Nitratex : 7
Sodium 8
Chlorures : 19,8
Sulfate : 3,8
Bicarbonate : 372
Potassium : 1",Ain Saiss Eau Minerale Naturelle
,Gerblé,"Belgium, Bulgaria, France, en:switzerland","Farine de blé 57%, sucre de canne roux, huile de colza, sésame toasté 10,6%, germe de blé 5,4%, farine complète de blé 5,4%, arôme naturel, magnésium, émulsifiant : lécithines, poudres à lever (tartrates de potassium, carbonates de sodium, carbonates d'ammonium), sel de mer, amidon de blé, vitamines (E, PP, B6, B1, B9).",Sésame
,Délicia,Maroc,Délicia Teelicia Delicia CONFITURE DE FRAISE,Confiture de fraise
,Eau minérale naturelle des Montagnes d'Atlas,Maroc,"Composition Minérale en mg/L 
Résidu Sec à 110°C: 249 en mg/L 
- Sodium 48 
- Calcium 18 
- Magnésium 13 
- Potassium
- Bicarbonates 217 
- Chlorures 12 
- Sulfates 8 
- Nitrates 4",Ain Atlas
,Jaouda,"Maroc,en:morocco","Lait frais entier, poudre de lait écrémé, amidon, ferment lactique sélectionné. matière grasse : 2.8%

المكونات: حليب طري كامل، مسحوق الحليب بدون قشدة،نشا، خميرة حليبية مختارة ، المادة الدهنية 2,8%",Yaourt nature
,Eau minérale naturelle,Maroc,Sodium 48 Calcium 18 Magnésium 13 Potassium 8 Bicarbonates 217 Chlorures 12 Sulfates Nitrates 4,Ain Atlas
"en:eggs,en:mustard,en:soybeans,en:sulphur-dioxide-and-sulphites",Star,Maroc,"Huile de soja, eau, vinaigre de table, jaune d’œufs, moutarde&quot;, sel, stabilisants (E412, E415), conservateur : (E202, E211) et antioxydant : E330. * contient des sulfites",Mayonnaise recette originale
en:gluten,Jason’s,"Ireland, United Kingdom, en:united-states","Wheat Flour (Fortified with Calcium Carbonate, Iron, Niacin, Thiamin), Water, Salt, Fermented Wheat Flour.",Sourdough White Ciabattin Bread
en:soybeans,J.D. Gross,"Австрия,Белгия,Естония,Финландия,Франция,Германия,Италия,Литва,Словакия,Словения,Испания,Обединено кралство Великобритания и Северна Ирландия,България","Какаова маса, нискомаслено какао на прах, какаово масло, захар, емулгатор: лецитин (соеви); екстракт от ванилия. Може да съдържа следи от ядки и мляко.",Шоколад 85% какаова маса
,aïn Saiss,Maroc,eau,
"en:milk,en:nuts,en:soybeans","Nutella,Ferrero","Belgium, France, Germany, India, Italy, Luxembourg, Morocco, Netherlands, Philippines, Poland, Romania, Spain, Switzerland, United Kingdom, United States, en:turkey","Sucre, huile de palme, NOISETTES 13%, cacao maigre 7,4%, LAIT écrémé en poudre 6,6%, LACTOSERUM en poudre, émulsifiants: lécithines [SOJA), vanilline. Sans gluten.",Nutella
,Cristaline,"Belgium, Côte d'Ivoire, France, Luxembourg, Mali, Martinique, Russia, Switzerland, United Kingdom, en:germany",Eau de source,Eau de source
,Jason’s,en:gb,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Rye Flour, Salt, Fermented Wheat",White Sourdough Bread
,Jason's,gb,"Wheat Flour (Wheat Flour, Calcium Carbonate, Iron, Niacin, Thiamin), Water, Mixed Seeds (Golden Linseeds, Sunflower Seeds (6%), Sprouted Spelt (Wheat) Grains (1.5%), Salt, Fermented Wheat Flour.",Sourdough Grains & Seeds
,la Hollandaise,"Morocco, en:united-states","(AJR 30%) ¿S-250 (AJR 100%) ¿S 10 (AJR 30%) ¿L 3,5 (AJR 30%) ¿S 300 فيتامين A فيتامين D فيتامين E كالسيوم جبنة مذوبة للدهن 50% مواد دسمة في المادة الجافة. الوزن الصافي : - المكونات حليب خالي من الدسم مشكل شيدر %25، زبدة، أملاح مستحلبة (E452 E341 E450) بروتينات الحليب قلح، مادة حافظة: سوربات البوتاسيوم، الكالسيوم، فيتامين ED،A أنتج بالمغرب من م.ص. عين الـ يحفظ في مكا تاريخ الاستخـ Agrément sanitaire MA LPL.5.11.13 111203 006653 LOONEY TUNES TH www.LOONEYTUNES.COM TH&War Bros Certamente 615) // AJR = Apports j",Cheddar
en:nuts,"Alesto,Lidl","Belgium,Bulgaria,Czech Republic,France,Germany,Greece,Hungary,Poland,Portugal,Romania,Slovenia,Spain,Switzerland,United Kingdom",shelled almonds,Almonds
,Star,Maroc,"Sel, iodate de potassium et anti-agglomérants",Star Branded Iodized Salt
,Star,Morocco,نشا: مشخن المائدة، خل الطماطلخ مركز سكر، ماء، المکونات: وتوابل.حافظة (E202.E211) ملح،مواد معدل,Ketchup
en:nuts,"Alesto, 14 x Lidl 07.25","Austria,Belgium,Croatia,France,Germany,Hungary,Italy,Spain,Sweden,Switzerland,United Kingdom",Cashews.,Cashews
,COSUMAR,"Morocco, en:united-states",Sugar,Cosumar Sucre En Lingot Pour Le Thé 1 kg
,Salim,Morocco,gluten free,Salim
en:gluten,Henry's,Maroc,"Farine de froment, sucre, graisse végétale, sucre inverti, agents levants ( bicarbonate d'ammonium - bicarbonate de sodium), sel, arome.",Henry’s
,Coca-Cola,"Belgium, Croatia, France, Germany, Greece, Hungary, Italy, Serbia, Spain, Switzerland, en:cyprus","Eau gazéifiée, sucre, colorant: E150d, acidifiant: acide phosphorique, arômes naturels, arôme caféine.",Coca-Cola
,Danone,Morocco,"ليوغور م.د,%2. مصنوع إخط قد يمكن أن يحتوي على الگلوتين، الجوز والبندق. 2.",Assil
,"Ciel,The Cocacola Company",Maroc,Eau,Ciel
en:milk,jaouda,Maroc,"Lait frais, sucre, poudre de lait écrémé, texturant : amidon, crème, arôme, ferments lactiques sélectionnés, matière grasse 3%",Cremy
"en:milk,en:nuts,en:soybeans",Maruja,"Algérie,Cameroun,France,Maroc,Espagne","sugar, cocoa butter, whole milk powder, cocoa mass, almonds, emulsifier (soya lecithin), flavoring",
,Ciel,"Italy,Morocco",nole المكونات: ماء مصفى (معالج ومنضح) وأملاح معدنية (بيكاربونات. كالسيوم وماغنسيوم). رخصة رقم 150 / 2000 بتاريخ 05 / 12 / 2000. معيا من طرف كوبومي، تكنوبول مطار محمد الخامس م.ص. النواصر. الدارالبيضاء، بموجب ترخيص من شركة كوكاكولا صاحبة العلامة التجارية المسجلة سيال 2016 6. تاريخ الإنتاج (P) رقم الحصة ويحبذ الإستهلاك قبل نهاية:(E) أنظر أعلى القنينة يحفظ بعيدا عن أشعة الشمس مکان نقي، جاف، بارد وبدون رائحة.,Ciel 33cl
,Danone,Maroc,Eau.,ain saiss 50cl
,Original,en:Morocco,"Lait de Vache pasteurisé, Crème fraiche pasteurisée
ferments lactiques, Présure,Sel.",Cream cheese
en:milk,Lurpak,en:United Kingdom,"butter (64%) (milk), rapeseed oil, water, lactic culture (milk), salt",Spreadable Slightly Salted
,BAHIA,Maroc,Eau,
,Green & Black's,"France, Sweden, United Kingdom, en:ireland","Cocoa mass #, cane sugar #, cocoa butter #, vanilla extract #. May contain nuts, milk.",Organic 70% Dark Chocolate Bar
,Excelo,en:ma,دقيقالقمح،رقائق الشوكولاته20%[عجينة زيت النخلة.الكاكاو،سكر،دكستروز و مستحلب,KING COOKIES
,jibal,en:Morocco,تخصص جبن بالقشدة المكونات : حليب كامل الدسم، قشدة (40%)، نشا، مثبتات (E1442 و E1450)، ملح، خمائر حليبية، مادة حافظة : سوريات البوتاسيوم يحفظ على الأكثر في 6 درجات تاريخ الإنتاج - تاريخ انتهاء الصلاحية - 30 يوما يستهلك إلى غاية : انظر جانب العلبة,jibal jbrn
,Oulmès,Morocco,oulmes eau gazeuse.                                      oulmes eau.                                                       oulmes.                                                                eau drink.,Oulmes Eau Gazeuse
,Aïn lfrane,Maroc,Eau minérale naturelle,Eau
,Nestlé,"Algérie,France,Maroc",Good Food Godf Neste. تحدث إلي نستله 080 105 10 10 82 100 800 ig صنع من طرف نستله المغرب الطقة الصناعية الجديدة 2440 ONSSAN CTC 53-05-13 vasi ستورد من طرف نستله تونس لتوزيع، ب زغوان - تونس تورد من طرف نستله الجزائرش. درة الزوار - 1531 الجزائر www.nestlemaghreb.com NUTRITIONAL COMPASS علامة تجارية مسجلة لشركة,Nescafé Classic
,Danone,Maroc,"Lait sans crème, sucre, crème, poudre de lait sans crème, protéines du lait, matière grasse laitiere, colorant naturel",Jamila
,Aquafina,Maroc,eau,Aquafina 50cl
fr:Aspartame,Coca-Cola,"Belgium, France, Germany, Greece, Hungary, Italy, Serbia, Spain, Switzerland, United States, en:united-kingdom","carbonated water, colouring (e150d), acidifier (phosphoric acid), sweeteners (aspartame, acesulfame-k), natural flavors, caffeine aroma, acidity regulator (sodium citrates), contains a source of phenylalanin",Coca-Cola Zero Sugar - 330 ml
"en:gluten,en:milk",Henry's,Maroc,"Farine de _froment_, sucre, graisse végétale, noix de coco râpée, poudre de _lait_, poudre de _lactosérum_, sucre inverti, agents levants (bicarbonate d'ammonium - bicarbonate de Sodium), sel, arômes.",Sable coco Henry s 42g
,Heinz,"France, Portugal, Spain, Sweden, United Kingdom, en:ireland","Beans (50%), Tomatoes (36%), Water, Sugar, Modified Cornflour, Salt, Spice Extracts , Herb Extract",Heinz Baked Beans 415g
,solis,Morocco,"Tomato, tomato concentrate, water, non-hydrogenated sunflower oil, sugar, modified corn starch, salt, natural onion flavor, onion, garlic, white pepper",sauce tomate cuisinée
en:nuts,"Alesto,Lidl,Alesto Selection,Alesto Lidl","Belgique,Bulgarie,Croatie,République tchèque,France,Hongrie,Italie,Pologne,Roumanie,Serbie,Espagne,Suède,Suisse,Royaume-Uni","25% nueces, 25% avellanas, 25% anacardos, 25% almendras peladas. Puede contener trazas de otros frutos de cáscara y cacahuetes.",Mix de frutos secos al natural
,Aïn Atlas,Maroc,eau minerale,Aïn Atlas 50cl
en:gluten,Oatly,"An Fhraing,A' Ghearmailt,Poblachd na h-Èireann,An Rìoghachd Aonaichte","water,  oats  10%, rapeseed oil, acidity regulator (dipotassium phosphate), minerals (calcium carbonate, potassium iodide), salt, vitamins (d2, riboflavin and b12),",Oat Drink Barista Edition
,Dost,Morocco,lait,Lait U.H.T entier
en:soybeans,la Prairie,"France, Morocco, en:united-states","Corps gras végétal, eau, sucre, sel, mono-diglycérides végétales, lécithine de soja, calcium, amidon, sorbate de potassium, antioxydant, acide citrique, arôme, β-carotène, 7 vitamines : A, B6, B2, B1, E, D et B12.",Classique
en:gluten,"Wasa,Barilla","France, Italy, Spain, Switzerland, en:reunion","Farine complète de SEIGLE (77 g*), farine de SEIGLE (28 g*), levure, sel. Peut contenir des traces de LUPIN, LAIT, MOUTARDE, GRAINES DE SÉSAME et SOJA. *en g pour 100 g de produit.",Tartine croustillante Authentique
,Lindt,"Algerien,Belgien,Tschechien,Frankreich,Deutschland,Guadeloupe,Italien,Marokko,Réunion,Spanien,Schweiz","Pâte de cacao, sucre, beurre de cacao, vanille. Peut contenir des fruits à coque, du lait, du soja et des graines de sésame.",70% Cacao noir intense
